case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,1,202030,0.11222276100076867,0.8371237323408217,0.12814517195942396,0.08882994196491242
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,2,202031,0.12623902120661046,0.8376997548764372,0.12814517195942396,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,3,202032,0.11214065506520376,0.8475959326657706,0.12814517195942396,0.08429943865289377
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,4,202033,0.09877925583308128,0.8492864533580158,0.12814517195942396,0.08429943865289377
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,5,202034,0.12073291112988549,0.8116922131871699,0.1216095139015734,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,6,202035,0.0933105936516454,0.8312134322659568,0.1216095139015734,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,7,202036,0.10561671329890043,0.8598214541403287,0.13503207577822474,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,8,202037,0.14332534886773518,0.8473507210973459,0.13503207577822474,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,9,202038,0.14043708524318532,0.8424653888171441,0.1216095139015734,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,10,202039,0.12641249805808247,0.8389196608400281,0.12814517195942396,0.08882994196491242
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,11,202040,0.11215625944640412,0.8507175166149941,0.10952119180679762,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,12,202041,0.1603704490245601,0.8558805691939432,0.14228910235299186,0.08429943865289377
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,13,202042,0.1317006618710605,0.8583335378874647,0.14228910235299186,0.09863448236862134
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.5,14,202043,0.1355831166444761,0.8489538140267399,0.14228910235299186,0.08429943865289377
