manifold,manifold_dimension,chi,delta,seed_index,seed,cubic_slope_fit,quintic_slope_fit,fit_r2,n_fit
$S^7$,7,0,0.5,5,211028,1.2361671837021602,0.70046983835285,0.9900127348569311,65
$S^7$,7,0,0.5,6,211029,1.588426815927228,-0.2746878734683128,0.9870265565423877,63
$S^7$,7,0,0.5,7,211030,1.1862627755420323,0.6657129620803849,0.9919523704600888,62
$S^7$,7,0,0.5,8,211031,1.7800291107839896,-0.8046337762396573,0.9899573636392527,61
$S^7$,7,0,0.5,9,211032,1.1239178732165436,0.5930037279973417,0.9872153372319069,62
$S^7$,7,0,0.5,10,211033,1.1566728331492788,0.6311454772739682,0.9902637652873874,62
$S^7$,7,0,0.5,11,211034,1.3993943739000803,0.16355048965109698,0.986532523222266,63
$S^7$,7,0,0.5,12,211035,1.5662410047198916,-0.28288779982142837,0.988407206380919,63
$S^7$,7,0,0.5,13,211036,1.425980979829032,0.34601980692552325,0.9881622947839538,64
$S^7$,7,0,0.5,14,211037,1.4342177655822572,0.2622816342191574,0.9904539126146882,63
$S^8$,8,2,0.35,0,206023,0.32942498913075524,-0.6341427971537119,0.695916563123923,13
$S^8$,8,2,0.35,1,206024,0.2617045314006143,-0.3737548334340388,0.6533803831870867,14
$S^8$,8,2,0.35,2,206025,0.20163270291207522,-0.38787454126648496,0.8829468502400736,9
$S^8$,8,2,0.35,3,206026,0.17593097759131165,-0.30580140248119986,0.8925688698531933,9
$S^8$,8,2,0.35,4,206027,0.21207268062791926,-0.3851666548025649,0.8543368676484773,10
$S^8$,8,2,0.35,5,206028,0.17068614063395074,-0.25852076386808875,0.860729069274838,10
$S^8$,8,2,0.35,6,206029,0.22481867312186596,-0.352954516113685,0.7762697998417675,12
$S^8$,8,2,0.35,7,206030,0.2277546556655331,-0.35832020688130206,0.7694839521181611,12
$S^8$,8,2,0.35,8,206031,0.18077870701477747,-0.2560293798424434,0.8213353446299587,11
$S^8$,8,2,0.35,9,206032,0.24939492728317464,-0.4269044314660656,0.7415321643190694,12
$S^8$,8,2,0.35,10,206033,0.23433357928656323,-0.4228941986681458,0.788205208676684,11
$S^8$,8,2,0.35,11,206034,0.20595904568872114,-0.30072832316366943,0.7740087391078755,12
$S^8$,8,2,0.35,12,206035,0.39373050629210327,-0.9144507556518736,0.6896476129461411,12
$S^8$,8,2,0.35,13,206036,0.1587368001169649,-0.2180510141195153,0.8841920836969468,10
$S^8$,8,2,0.35,14,206037,0.17598061268355042,-0.30905455527994125,0.8726240738768217,9
$S^8$,8,2,0.5,0,221023,0.11983777685694201,-0.1666257459705254,0.8458245254115071,8
$S^8$,8,2,0.5,1,221024,0.23531083043422293,-0.5298059282036672,0.7599481987776587,9
$S^8$,8,2,0.5,2,221025,0.12102393303962423,-0.1676304188327741,0.85691180841507,8
$S^8$,8,2,0.5,3,221026,0.12233417535325301,-0.17434802120041046,0.8356164203601436,8
$S^8$,8,2,0.5,4,221027,,,,7
$S^8$,8,2,0.5,5,221028,0.19283763125439635,-0.320757490068476,0.7355011869654144,10
$S^8$,8,2,0.5,6,221029,0.19435692917941555,-0.4189744421431125,0.8312445746110863,8
$S^8$,8,2,0.5,7,221030,0.2842556533545473,-0.741773997111441,0.7711689629590877,9
$S^8$,8,2,0.5,8,221031,0.1375096990632947,-0.21733696070763805,0.8431909748883015,8
$S^8$,8,2,0.5,9,221032,0.2285454516781928,-0.4147854801382061,0.7048846942824358,10
$S^8$,8,2,0.5,10,221033,,,,7
$S^8$,8,2,0.5,11,221034,0.21168741867139498,-0.38345406401575555,0.7307863837712403,10
$S^8$,8,2,0.5,12,221035,0.30688467247405604,-0.46375702511633043,0.5349091813365242,15
$S^8$,8,2,0.5,13,221036,0.13832889813499533,-0.19178340761462132,0.8152529501365628,9
$S^8$,8,2,0.5,14,221037,0.1709997563974977,-0.319865246738838,0.844675824854366,8
$S^9$,9,0,0.35,0,216023,1.2426984051336802,0.09243934256558374,0.9852643459394876,60
$S^9$,9,0,0.35,1,216024,1.190703992126115,0.12989792788190527,0.9863613058481168,60
$S^9$,9,0,0.35,2,216025,1.2434144049995415,-0.06796341687439666,0.9861583346437018,59
$S^9$,9,0,0.35,3,216026,1.113044674128317,0.40285590501422125,0.9847615941580518,61
$S^9$,9,0,0.35,4,216027,1.2385141702175566,0.2647501407435077,0.9860401069322469,61
$S^9$,9,0,0.35,5,216028,1.3331050165571559,-0.08319353480206496,0.99085771694978,60
$S^9$,9,0,0.35,6,216029,1.3161139165116196,-0.16890300517759788,0.9887807884420209,59
$S^9$,9,0,0.35,7,216030,0.9502447556723777,0.49769420086313443,0.9852816315314109,59
$S^9$,9,0,0.35,8,216031,1.0859436462129408,0.4667740457462822,0.9907634196883881,60
$S^9$,9,0,0.35,9,216032,1.2619747531368288,0.09027567134795378,0.9904920064366706,60
$S^9$,9,0,0.35,10,216033,1.3690441000018774,-0.09306892741959806,0.9893745159806534,60
$S^9$,9,0,0.35,11,216034,1.063235223076391,0.36962108111988295,0.9873139441758225,59
$S^9$,9,0,0.35,12,216035,1.0362780385668557,0.5870880145710052,0.9866120923894138,61
$S^9$,9,0,0.35,13,216036,1.3341972091845637,-0.1558309253634585,0.9841511770255896,60
$S^9$,9,0,0.35,14,216037,0.827907612576902,0.7950841156302931,0.9874009222496928,59
$S^9$,9,0,0.5,0,231023,1.3885629790702594,-0.07578144515956917,0.9922026936761699,61
$S^9$,9,0,0.5,1,231024,1.2246420532282007,0.2002150036255943,0.9910598366723876,61
$S^9$,9,0,0.5,2,231025,1.1719398972737158,0.2423823353577274,0.9874247228234891,61
$S^9$,9,0,0.5,3,231026,1.1855761799276472,0.30745603894357626,0.9915407506418967,61
$S^9$,9,0,0.5,4,231027,1.0481202366805165,0.4972047372206415,0.991456058841413,60
$S^9$,9,0,0.5,5,231028,1.3451920220479494,-0.08151105707699437,0.9940710570712674,60
$S^9$,9,0,0.5,6,231029,1.23204257029657,0.19956027548260033,0.9900118761245855,61
$S^9$,9,0,0.5,7,231030,1.2618716038063504,0.20998717785457788,0.9924543442295345,61
$S^9$,9,0,0.5,8,231031,1.289506229609013,0.0026789146524200946,0.9831718464185525,61
$S^9$,9,0,0.5,9,231032,1.2354606627207485,0.08967135964609917,0.990238361903935,60
$S^9$,9,0,0.5,10,231033,1.074594666186979,0.5078584323672637,0.9901188352120358,61
$S^9$,9,0,0.5,11,231034,1.1581096428229616,0.29673474400655864,0.9942276569232641,60
$S^9$,9,0,0.5,12,231035,1.2521573174137628,0.2935257962549723,0.9916789126299654,62
$S^9$,9,0,0.5,13,231036,1.2524683961023058,0.21495659835474362,0.993381940409283,61
$S^9$,9,0,0.5,14,231037,1.368206596295984,-0.11346468839360407,0.986944910405734,61
$S^10$,10,2,0.35,0,226023,0.3190621089782927,-0.5157444597151826,0.6513618048680743,15
$S^10$,10,2,0.35,1,226024,0.18675618860386556,-0.2937452651423712,0.8522347566825378,10
$S^10$,10,2,0.35,2,226025,0.19544051811917368,-0.29966224886379045,0.8050180554378306,11
$S^10$,10,2,0.35,3,226026,0.33335386320362614,-0.5308095624413954,0.6343616892129912,15
$S^10$,10,2,0.35,4,226027,0.2318259418605936,-0.40696152772965777,0.8099478627490495,11
$S^10$,10,2,0.35,5,226028,0.2850677194901932,-0.6079256837498557,0.7911341501782534,11
$S^10$,10,2,0.35,6,226029,0.19234681730660524,-0.25945343725677655,0.7997962092848636,12
$S^10$,10,2,0.35,7,226030,0.24954864329580892,-0.5287926954367999,0.8305760148811522,10
$S^10$,10,2,0.35,8,226031,0.849789831335868,-2.32213576406522,0.4836366789504628,18
$S^10$,10,2,0.35,9,226032,0.24627712061034496,-0.36231480987134074,0.6994696223448149,13
$S^10$,10,2,0.35,10,226033,0.30257914684735826,-0.6043298460772384,0.7530596150428156,12
$S^10$,10,2,0.35,11,226034,0.3472837194031005,-0.6204600546508051,0.6378799355623406,14
$S^10$,10,2,0.35,12,226035,0.20639321733019714,-0.3298284341901963,0.8136056304369096,11
$S^10$,10,2,0.35,13,226036,0.21291794301813935,-0.39121717319542615,0.8630611964801729,10
$S^10$,10,2,0.35,14,226037,0.21479445080529785,-0.31954481868246576,0.7814349507891916,12
$S^10$,10,2,0.5,0,241023,0.1341993182576175,-0.1865105220520103,0.7916129532316952,9
$S^10$,10,2,0.5,1,241024,0.1314077239857474,-0.17637621738873185,0.8018844693853777,9
$S^10$,10,2,0.5,2,241025,0.17253436985927356,-0.2566846512770955,0.7521005453329112,10
$S^10$,10,2,0.5,3,241026,0.15924210108746323,-0.27967329847873246,0.8595148543228731,8
$S^10$,10,2,0.5,4,241027,0.20607962299537227,-0.32822678964254715,0.6805753370225753,11
$S^10$,10,2,0.5,5,241028,0.18265866843926384,-0.32064022922790353,0.7943173193159707,9
$S^10$,10,2,0.5,6,241029,,,,7
$S^10$,10,2,0.5,7,241030,,,,7
$S^10$,10,2,0.5,8,241031,0.13761385279297175,-0.18973602281444021,0.8120528092728423,9
$S^10$,10,2,0.5,9,241032,,,,7
