ambient_dimension,manifold_dimension,Manifold dimension,N,seed,kappa_sample,kappa_theory,kappa_ratio,N_inv_sqrt
10,9,D = 9,1024,4,0.898307923104824,0.9,0.9981199145609155,0.03125
10,9,D = 9,1024,5,0.9052551103417001,0.9,1.0058390114907778,0.03125
10,9,D = 9,1024,6,0.8995328314192552,0.9,0.9994809237991724,0.03125
10,9,D = 9,1024,7,0.9042721035522745,0.9,1.0047467817247495,0.03125
10,9,D = 9,1024,8,0.9058267489625074,0.9,1.0064741655138971,0.03125
10,9,D = 9,1024,9,0.9041518906884933,0.9,1.0046132118761038,0.03125
10,9,D = 9,1024,10,0.8992613076450515,0.9,0.9991792307167239,0.03125
10,9,D = 9,1024,11,0.8984439860224948,0.9,0.9982710955805497,0.03125
10,9,D = 9,1024,12,0.9055772202915809,0.9,1.00619691143509,0.03125
10,9,D = 9,1024,13,0.8992311574313843,0.9,0.9991457304793159,0.03125
10,9,D = 9,1024,14,0.8974566638507959,0.9,0.9971740709453287,0.03125
10,9,D = 9,1024,15,0.896019869606462,0.9,0.9955776328960688,0.03125
10,9,D = 9,1024,16,0.8971435114526793,0.9,0.9968261238363103,0.03125
10,9,D = 9,1024,17,0.8984913651729729,0.9,0.998323739081081,0.03125
10,9,D = 9,1024,18,0.8975843899174492,0.9,0.9973159887971657,0.03125
10,9,D = 9,1024,19,0.8903600125330412,0.9,0.9892889028144902,0.03125
