case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,direction,K_index,K,K_over_Kref,R,N,relax_steps,K_grid_size
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,28,0.12126333572063788,0.34646667348753685,0.1625126222782527,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,29,0.12778038913033962,0.36508682608668463,0.16814144021466704,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,30,0.1346476884316994,0.3847076812334269,0.16428987311141854,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,31,0.1418840568837749,0.4053830196679283,0.14924531293724227,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,32,0.1495093293637183,0.4271695124677666,0.12622373094893116,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,33,0.15754440673415068,0.4501268763832877,0.16631657858410634,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,34,0.1660113131324009,0.47431803752114543,0.2042835733491268,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,35,0.1749332563386395,0.4998093038246843,0.22433807606018594,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,36,0.18433469138837588,0.5266705468239311,0.22439315855933778,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,37,0.19424138760368112,0.5549753931533746,0.2288310030454324,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,38,0.2046804992268684,0.5848014263624812,0.28313032723305587,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,39,0.2156806398502382,0.6162303995721091,0.2888812845951222,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,40,0.22727196084590023,0.649348459559715,0.3231082555763355,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,41,0.2394862340106479,0.6842463828875655,0.3484526574749029,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,42,0.25235693865241454,0.7210198247211844,0.3641930836706226,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,43,0.26591935335701605,0.7597695810200459,0.4099906652666648,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,44,0.28021065268671175,0.8006018648191765,0.4432574208676032,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,45,0.29527000907563467,0.8436285973589562,0.46307816051227146,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,46,0.3111387002013854,0.8889677148611012,0.47837383893979935,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,47,0.3278602221270973,0.9367434917917067,0.49098454723654894,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,48,0.3454804085240918,0.9870868814974052,0.5228282611477197,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,49,0.3640475563019168,1.0401358751483338,0.5460194378614336,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,50,0.3836125579901163,1.0960358799717609,0.575930542347913,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,51,0.40422904123459313,1.1549401178131233,0.5971176840092274,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,52,0.4259535157909203,1.2170100451169152,0.6072713911123602,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,53,0.44884552841751363,1.2824157954786104,0.6144835790103902,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,54,0.4729678260932233,1.3513366459806382,0.6409372513466267,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,55,0.49838652800672717,1.4239615085906492,0.6432032375236475,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,56,0.5251713067891476,1.5004894479689932,0.6666522874482399,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,57,0.5533955794866471,1.581130227104706,0.6804719695459387,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,58,0.5831367087964648,1.666104882275614,0.6833393613724276,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,1,157030,forward,59,0.6144762151179741,1.7556463289084976,0.7062094099557416,256,850,61
