manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,direction,K_index,K,K_over_Kref,R,K_ref,N,relax_steps,K_grid_size,construction_status
$S^3$,3,0,0.35,0,821023,False,forward,69,0.12444996214017576,0.26667849030037666,0.08384151046845341,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,70,0.12664061202984261,0.2713727400639485,0.10033414345164741,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,71,0.12886982317623114,0.27614962109192387,0.09088329460691812,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,72,0.13113827435988365,0.28101058791403644,0.11096808841445796,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,73,0.1334466563096829,0.28595712066360623,0.08982550540136472,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,74,0.1357956719131745,0.2909907255282311,0.12063115652538846,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,75,0.13818603643059202,0.2961129352084115,0.12622166759705067,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,76,0.14061847771264882,0.3013253093842475,0.1252340336759642,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,77,0.1430937364221642,0.30662943519035185,0.13003758305227112,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,78,0.14561256625959035,0.3120269276991222,0.1433361454904264,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,79,0.1481757341925093,0.31751943041251995,0.1809654741138539,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,80,0.15078402068916968,0.3231086157625065,0.14856829332369476,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,81,0.1534382199561345,0.32879618562028823,0.17651321701041753,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,82,0.15613914018011155,0.33458387181452476,0.17211763482660997,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,83,0.15888760377404149,0.34047343665866037,0.18720489693028106,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,84,0.16168444762751716,0.3464666734875368,0.17498112682196484,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,85,0.16453052336161106,0.3525654072034523,0.22303352315306546,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,86,0.16742669758818873,0.358771494831833,0.2016080596667501,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,87,0.17037385217378614,0.36508682608668463,0.19859089668764066,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,88,0.17337288450813287,0.37151332394599906,0.21898145937538388,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,89,0.1764247077774013,0.37805294523728855,0.20115940736133334,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,90,0.17953025124226585,0.38470768123342686,0.20496034740478697,0.4666666666666666,1024,3000,181,ordinary random skew drift
