manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^5$,5,0,0.5,10,191033,False,0.060882193422628045,0.05947195612586978,0.24978687703035876,0.2597889293036108
$S^5$,5,0,0.5,11,191034,False,0.05548812130278388,0.08013204379299943,0.21348409816583055,0.18245738411685572
$S^5$,5,0,0.5,12,191035,False,0.06112257504700086,0.10387316667666102,0.2810105879140365,0.3556549144442918
$S^5$,5,0,0.5,13,191036,False,0.06169328464861101,0.09927576391679377,0.5696932521209747,0.32879618562028823
$S^5$,5,0,0.5,14,191037,False,0.04383259684699671,0.05071699442667857,0.17543264946603912,0.1559399379381701
$S^6$,6,2,0.35,0,186023,True,0.18149516020734718,0.8512915759454448,0.11846776758799467,0.08320338758934442
$S^6$,6,2,0.35,1,186024,True,0.17800552525513147,0.8511000586512796,0.11846776758799467,0.0865350463292835
$S^6$,6,2,0.35,2,186025,True,0.17352999627665427,0.8256463553890947,0.11390667713934896,0.0865350463292835
$S^6$,6,2,0.35,3,186026,True,0.17275463107240502,0.8469745349198079,0.11846776758799467,0.0865350463292835
$S^6$,6,2,0.35,4,186027,True,0.16300306553341437,0.8339554597736393,0.10952119180679755,0.08320338758934442
$S^6$,6,2,0.35,5,186028,True,0.1468552181017418,0.8333423841565538,0.101250253119456,0.07999999999999999
$S^6$,6,2,0.35,6,186029,True,0.1728499352422211,0.8475021864174999,0.11846776758799467,0.08320338758934442
$S^6$,6,2,0.35,7,186030,True,0.1634425152659011,0.8280770324375206,0.10952119180679755,0.0865350463292835
$S^6$,6,2,0.35,8,186031,True,0.20600267409222905,0.8572019958677843,0.13327640512803923,0.09360392804014053
$S^6$,6,2,0.35,9,186032,True,0.18539255872473992,0.8459399116535321,0.12321149479335378,0.09360392804014053
$S^6$,6,2,0.35,10,186033,True,0.16562708349139038,0.8471074314294612,0.11390667713934896,0.07999999999999999
$S^6$,6,2,0.35,11,186034,True,0.15468487206412684,0.8421493984417382,0.10952119180679755,0.07999999999999999
$S^6$,6,2,0.35,12,186035,True,0.1713652618051678,0.856842951846353,0.11846776758799467,0.08320338758934442
$S^6$,6,2,0.35,13,186036,True,0.15057764369034843,0.8298520828126519,0.11390667713934896,0.08320338758934442
$S^6$,6,2,0.35,14,186037,True,0.14913600711796882,0.8160775024733503,0.10952119180679755,0.08320338758934442
$S^6$,6,2,0.5,0,201023,True,0.20788110132641852,0.8194250459037179,0.10125025311945599,0.08320338758934444
$S^6$,6,2,0.5,1,201024,True,0.20553117495035467,0.8392148605237765,0.10125025311945599,0.08
$S^6$,6,2,0.5,2,201025,True,0.19666685489599567,0.8347772553177346,0.0973520488076115,0.08
$S^6$,6,2,0.5,3,201026,True,0.203547776043827,0.8341693324070755,0.10125025311945599,0.08
$S^6$,6,2,0.5,4,201027,True,0.2073601890636595,0.8453519310842278,0.10952119180679756,0.08320338758934444
$S^6$,6,2,0.5,5,201028,True,0.23328729151244615,0.8574442172545608,0.11390667713934899,0.08320338758934444
$S^6$,6,2,0.5,6,201029,True,0.21430382080550747,0.8539343962207235,0.10530455067271666,0.08
$S^6$,6,2,0.5,7,201030,True,0.20960296394651906,0.8365340968156717,0.10530455067271666,0.08
$S^6$,6,2,0.5,8,201031,True,0.2236988491408144,0.8374328756450421,0.10125025311945599,0.08
$S^6$,6,2,0.5,9,201032,True,0.2284685431231267,0.8370189611539018,0.10125025311945599,0.08320338758934444
$S^6$,6,2,0.5,10,201033,True,0.23448183675484097,0.8435899208547264,0.10952119180679756,0.08
$S^6$,6,2,0.5,11,201034,True,0.21035516664761106,0.8355711601720758,0.10530455067271666,0.08
$S^6$,6,2,0.5,12,201035,True,0.22009586875666703,0.8591296637872422,0.10530455067271666,0.08
$S^6$,6,2,0.5,13,201036,True,0.21160059352354138,0.8516382908433857,0.10952119180679756,0.08320338758934444
$S^6$,6,2,0.5,14,201037,True,0.19921390198188932,0.8156988902924978,0.10125025311945599,0.08
$S^7$,7,0,0.35,0,196023,False,0.05872365157050194,0.10426358458029292,0.22203250204816583,0.2052648137063791
$S^7$,7,0,0.35,1,196024,False,0.04445591804600929,0.10626624859312545,0.22203250204816583,0.1973619773458998
$S^7$,7,0,0.35,2,196025,False,0.06361910231352876,0.0941118789512817,0.16218413871159862,0.2052648137063791
$S^7$,7,0,0.35,3,196026,False,0.04875321384882633,0.09490194529761015,0.1441634986544405,0.17543264946603915
$S^7$,7,0,0.35,4,196027,False,0.04106443244243371,0.12890153387858705,0.21348409816583055,0.1973619773458998
$S^7$,7,0,0.35,5,196028,False,0.04690166304630794,0.10655666596717234,0.2597889293036108,0.21348409816583055
$S^7$,7,0,0.35,6,196029,False,0.046563162380318546,0.09531446620361482,0.16218413871159862,0.15593993793817013
$S^7$,7,0,0.35,7,196030,False,0.04986040098145131,0.07972670284384714,0.2309232040668182,0.24016991064180948
$S^7$,7,0,0.35,8,196031,False,0.055796644581937754,0.11347790062314278,0.18245738411685578,0.1973619773458998
$S^7$,7,0,0.35,9,196032,False,0.04657333827440979,0.11478562235994724,0.3039658030520044,0.11390667713934903
$S^7$,7,0,0.35,10,196033,False,0.04846763237859808,0.06956882911482001,0.2597889293036108,0.18245738411685578
$S^7$,7,0,0.35,11,196034,False,0.05067130511913513,0.10020568685582433,0.12814517195942396,0.13327640512803932
$S^7$,7,0,0.35,12,196035,False,0.05280353553939604,0.07355483880102676,0.2597889293036108,0.18976340561515812
$S^7$,7,0,0.35,13,196036,False,0.051817417755763956,0.08526914151575443,0.17543264946603915,0.18976340561515812
$S^7$,7,0,0.35,14,196037,False,0.056145440304706015,0.1192766778919462,0.1973619773458998,0.18976340561515812
$S^7$,7,0,0.5,0,211023,False,0.048466241454640624,0.09558813038732104,0.2922629107865142,0.1559399379381701
$S^7$,7,0,0.5,1,211024,False,0.0569499568355705,0.06302500073670707,0.19736197734589978,0.1281451719594239
$S^7$,7,0,0.5,2,211025,False,0.05466826762269729,0.0695721538000342,0.13861310490478437,0.09735204880761152
$S^7$,7,0,0.5,3,211026,False,0.060784429219761044,0.12280295282075067,0.19736197734589978,0.13861310490478437
$S^7$,7,0,0.5,4,211027,False,0.05704808774533565,0.06022099105827225,0.34196195587578604,0.14416349865444048
$S^7$,7,0,0.5,5,211028,False,0.04444726893241331,0.08646350276325496,0.14993614318476692,0.10530455067271666
$S^7$,7,0,0.5,6,211029,False,0.04333930813402498,0.08335046483850692,0.16867837192581434,0.24978687703035876
$S^7$,7,0,0.5,7,211030,False,0.0661492405958001,0.08033167417144058,0.1559399379381701,0.1559399379381701
