distribution,ambient_dimension,delta,epsilon_factor,susceptibility,Kc_numeric,Kc_theory,collapse,manifold_dimension
lorentzian,2,0.4754909819639278,0.001,1.0504941596103565,0.9519329458917835,0.9509819639278556,1.001,1
lorentzian,2,0.47783567134268534,0.001,1.0453394952640047,0.9566270140280559,0.9556713426853708,1.0009999999999997,1
lorentzian,2,0.4801803607214429,0.001,1.0402351706971715,0.9613210821643285,0.9603607214428858,1.001,1
lorentzian,2,0.4825250501002004,0.001,1.035180452075543,0.9660151503006013,0.9650501002004007,1.0010000000000001,1
lorentzian,2,0.48486973947895795,0.001,1.0301746197592445,0.9707092184368739,0.969739478957916,1.001,1
lorentzian,2,0.4872144288577154,0.001,1.025216967961292,0.9754032865731461,0.9744288577154308,1.001,1
lorentzian,2,0.4895591182364729,0.001,1.0203068044158552,0.9800973547094188,0.9791182364729458,1.0010000000000001,1
lorentzian,2,0.49190380761523045,0.001,1.0154434500560143,0.9847914228456913,0.9838076152304608,1.0010000000000001,1
lorentzian,2,0.494248496993988,0.001,1.0106262387006821,0.989485490981964,0.9884969939879759,1.0010000000000001,1
lorentzian,2,0.4965931863727455,0.001,1.0058545167504005,0.9941795591182365,0.993186372745491,1.001,1
lorentzian,2,0.49893787575150295,0.001,1.001127642891711,0.9988736272545088,0.9978757515030059,1.001,1
lorentzian,2,0.5012825651302605,0.001,0.9964449878098236,1.0035676953907815,1.002565130260521,1.0010000000000001,1
lorentzian,2,0.503627254509018,0.001,0.9918059339093123,1.008261763527054,1.007254509018036,1.0010000000000001,1
lorentzian,2,0.5059719438877756,0.001,0.9872098750425746,1.0129558316633267,1.011943887775551,1.0010000000000001,1
lorentzian,2,0.5083166332665331,0.001,0.9826562162458081,1.0176498997995993,1.0166332665330662,1.0010000000000001,1
lorentzian,2,0.5106613226452906,0.001,0.9781443734822589,1.022343967935872,1.0213226452905813,1.0010000000000001,1
lorentzian,2,0.513006012024048,0.001,0.9736737733925124,1.0270380360721443,1.026012024048096,1.0010000000000001,1
lorentzian,2,0.5153507014028056,0.001,0.9692438530515992,1.0317321042084169,1.030701402805611,1.0010000000000003,1
lorentzian,2,0.5176953907815631,0.001,0.9648540597327032,1.0364261723446895,1.0353907815631263,1.0010000000000001,1
lorentzian,2,0.5200400801603207,0.001,0.9605038506772612,1.0411202404809619,1.0400801603206413,1.001,1
lorentzian,2,0.5223847695390782,0.001,0.956192692871252,1.0458143086172345,1.0447695390781564,1.001,1
lorentzian,2,0.5247294589178356,0.001,0.9519200628274874,1.0505083767535068,1.049458917835671,1.0010000000000001,1
lorentzian,2,0.5270741482965932,0.001,0.9476854463737093,1.0552024448897794,1.0541482965931865,1.0009999999999997,1
lorentzian,2,0.5294188376753507,0.001,0.9434883384463217,1.059896513026052,1.0588376753507014,1.001,1
lorentzian,2,0.5317635270541082,0.001,0.939328242889577,1.0645905811623246,1.0635270541082165,1.001,1
lorentzian,2,0.5341082164328658,0.001,0.9352046722600527,1.0692846492985972,1.0682164328657315,1.001,1
lorentzian,2,0.5364529058116233,0.001,0.9311171476362555,1.0739787174348698,1.0729058116232466,1.001,1
lorentzian,2,0.5387975951903807,0.001,0.9270651984331967,1.0786727855711422,1.0775951903807615,1.001,1
lorentzian,2,0.5411422845691383,0.001,0.9230483622217874,1.0833668537074148,1.0822845691382765,1.0010000000000001,1
lorentzian,2,0.5434869739478958,0.001,0.9190661845529102,1.0880609218436874,1.0869739478957916,1.0010000000000001,1
lorentzian,2,0.5458316633266533,0.001,0.9151182187860235,1.09275498997996,1.0916633266533067,1.0010000000000001,1
lorentzian,2,0.5481763527054109,0.001,0.9112040259221658,1.0974490581162326,1.0963527054108217,1.0010000000000001,1
lorentzian,2,0.5505210420841684,0.001,0.907323174441226,1.1021431262525052,1.1010420841683366,1.0010000000000003,1
lorentzian,2,0.5528657314629258,0.001,0.9034752401433567,1.1068371943887776,1.1057314629258517,1.0010000000000001,1
lorentzian,2,0.5552104208416834,0.001,0.8996598059944025,1.1115312625250502,1.110420841683367,1.001,1
lorentzian,2,0.5575551102204409,0.001,0.8958764619752326,1.1162253306613228,1.1151102204408818,1.0010000000000001,1
lorentzian,2,0.5598997995991984,0.001,0.8921248049348552,1.1209193987975954,1.1197995991983967,1.0010000000000003,1
lorentzian,2,0.562244488977956,0.001,0.8884044384472101,1.1256134669338678,1.1244889779559117,1.0010000000000001,1
lorentzian,2,0.5645891783567134,0.001,0.8847149726715269,1.1303075350701401,1.1291783567134266,1.0010000000000001,1
lorentzian,2,0.5669338677354709,0.001,0.8810560242161515,1.1350016032064127,1.1338677354709419,1.001,1
lorentzian,2,0.5692785571142285,0.001,0.8774272160057354,1.1396956713426853,1.138557114228457,1.001,1
lorentzian,2,0.571623246492986,0.001,0.8738281771516941,1.144389739478958,1.143246492985972,1.001,1
lorentzian,2,0.5739679358717436,0.001,0.8702585428258414,1.1490838076152305,1.147935871743487,1.001,1
