label,family,n,k,m,real_dimension,ambient_dimension,chi,kappa_theory,replicate,kappa_numeric,kappa_ratio
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,16,0.24885614108501425,0.995424564340057
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,17,0.24981186745424638,0.9992474698169855
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,18,0.2522090014756351,1.0088360059025403
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,19,0.25087266926161766,1.0034906770464707
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,20,0.2523429430746368,1.0093717722985471
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,21,0.2478408865710479,0.9913635462841917
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,22,0.24867403492967022,0.9946961397186809
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,23,0.24719560742105925,0.988782429684237
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,24,0.25259315737092236,1.0103726294836894
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,25,0.2507241587119518,1.0028966348478072
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,26,0.2505134751314373,1.0020539005257492
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,27,0.25033860532002106,1.0013544212800842
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,28,0.2506613572198004,1.0026454288792015
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,29,0.2508718768344498,1.0034875073377991
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,30,0.24823102549987391,0.9929241019994957
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,31,0.25053000616697996,1.0021200246679198
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,32,0.2509130521453634,1.0036522085814537
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,33,0.25091872926948594,1.0036749170779438
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,34,0.24960656061647846,0.9984262424659138
$\mathbb{CP}^6$,Complex projective space,7,1,6.0,12,48,7,0.25,35,0.2496650391484458,0.9986601565937832
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,0,0.22342742780388572,1.0054234251174858
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,1,0.22123394277955236,0.9955527425079856
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,2,0.22213739323041998,0.9996182695368899
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,3,0.22241969155690128,1.0008886120060558
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,4,0.22023073744336047,0.9910383184951221
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,5,0.22129824207707488,0.995842089346837
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,6,0.22124112616301297,0.9955850677335585
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,7,0.22271932435727043,1.002236959607717
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,8,0.22094240611255145,0.9942408275064816
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,9,0.22151475359579176,0.9968163911810629
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,10,0.22411624316425285,1.0085230942391379
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,11,0.22108140576535185,0.9948663259440833
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,12,0.221391142381643,0.9962601407173935
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,13,0.22277078141511725,1.0024685163680276
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,14,0.2217802631291877,0.9980111840813447
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,15,0.22386976236881861,1.0074139306596839
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,16,0.22127212096460533,0.995724544340724
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,17,0.22535653402299752,1.014104403103489
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,18,0.22055241527847674,0.9924858687531454
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,19,0.2218262738406362,0.9982182322828629
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,20,0.22293933155201062,1.003226991984048
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,21,0.21982172980267736,0.9891977841120482
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,22,0.22065005794786768,0.9929252607654047
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,23,0.22215659873726007,0.9997046943176704
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,24,0.22324245396211012,1.0045910428294955
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,25,0.21983609881574365,0.9892624446708465
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,26,0.22270642349663067,1.002178905734838
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,27,0.22166447135575518,0.9974901211008983
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,28,0.22150031773487522,0.9967514298069385
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,29,0.218994705817587,0.9854761761791416
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,30,0.2211680139276488,0.9952560626744196
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,31,0.22317547883626673,1.0042896547632003
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,32,0.2236231539334826,1.0063041927006717
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,33,0.22472721163597678,1.0112724523618957
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,34,0.22076276427487546,0.9934324392369396
$\mathbb{CP}^7$,Complex projective space,8,1,7.0,14,63,8,0.2222222222222222,35,0.22195807187085498,0.9988113234188475
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,4,2,,8,15,6,0.5333333333333333,0,0.5315512137379137,0.9966585257585882
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,4,2,,8,15,6,0.5333333333333333,1,0.5385140934462187,1.00971392521166
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,4,2,,8,15,6,0.5333333333333333,2,0.5373611792809556,1.0075522111517918
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,4,2,,8,15,6,0.5333333333333333,3,0.5340765971033463,1.0013936195687743
$\mathrm{Gr}_{2}(\mathbb{C}^{4})$,Complex Grassmannian,4,2,,8,15,6,0.5333333333333333,4,0.5357879026946635,1.004602317552494
